Stationsnummer: 2099
Stationsname: Zürich, Unterhard
DBLH-Nr: 00343
Gewässer: Limmat
Exportperiode: 2000-01-01 - 2024-12-31
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-17 00:00:00;;400.699;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-18 00:00:00;;400.895;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-19 00:00:00;;400.941;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-20 00:00:00;;400.887;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-21 00:00:00;;400.802;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-22 00:00:00;;400.677;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-23 00:00:00;;400.573;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-24 00:00:00;;400.516;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-25 00:00:00;;400.497;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-26 00:00:00;;400.378;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-27 00:00:00;;400.351;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-28 00:00:00;;400.371;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-29 00:00:00;;400.382;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-30 00:00:00;;400.375;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-03-31 00:00:00;;400.363;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-01 00:00:00;;400.360;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-02 00:00:00;;400.286;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-03 00:00:00;;400.098;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-04 00:00:00;;400.075;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-05 00:00:00;;400.112;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-06 00:00:00;;400.311;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-07 00:00:00;;400.381;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-08 00:00:00;;400.352;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-09 00:00:00;;400.291;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-10 00:00:00;;400.157;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-11 00:00:00;;400.142;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-12 00:00:00;;400.248;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-13 00:00:00;;400.405;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-14 00:00:00;;400.389;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-15 00:00:00;;400.340;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-16 00:00:00;;400.205;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-17 00:00:00;;400.132;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-18 00:00:00;;400.169;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-19 00:00:00;;400.230;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-20 00:00:00;;400.229;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-21 00:00:00;;400.237;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-22 00:00:00;;400.256;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-23 00:00:00;;400.251;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-24 00:00:00;;400.387;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-25 00:00:00;;400.464;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-26 00:00:00;;400.579;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-27 00:00:00;;400.594;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-04-28 00:00:00;;400.590;Freigegeben, validierte Daten
